"id_original","latitude","longitude","emdcardnumber","time_utc","time_local","response_time_sec","weekend_or_not","geometry","incident_id","dist_to_seg","xdsegid","month","hour_of_day","day","window_of_day","day_of_week","window_id","xd_id","measurement_tstamp","measurement_tstamp_str","speed","average_speed","reference_speed","travel_time_seconds","confidence_score","cvalue","congestion","extreme_congestion","year","segid","roadname","xdgroup","win_id","precip","temp","vis","wind_spd"
"ObjectId(5f2b8b3895fad002d645b9e7)","36.2114944","-86.92103621","29B5U","29:29.6","29:29.6","496","0","POINT (-86.92103621 36.2114944)","24664","0.5312124","1520000000","8","17","218","3","Wed","2020.218.3","1524468438","35:00.0","8/5/2020 12:35","57.12","51.0","52.0","41.64","30.0","74.0","0.0","0.0","2020","1524468438","ASHLAND CITY HWY","1743566","2020.218.3","0.0","28.983333333333324","16.0","3.3499999999999988"
"ObjectId(5f2b8b3895fad002d645b9e7)","36.2114944","-86.92103621","29B5U","29:29.6","29:29.6","496","0","POINT (-86.92103621 36.2114944)","24664","0.5312124","1520000000","8","17","218","3","Wed","2020.218.3","1524468438","30:00.0","8/5/2020 12:30","52.84","51.0","52.0","45.01","30.0","86.0","0.0","0.0","2020","1524468438","ASHLAND CITY HWY","1743566","2020.218.3","0.0","28.983333333333324","16.0","3.3499999999999988"
"ObjectId(5f2b8b3895fad002d645b9e7)","36.2114944","-86.92103621","29B5U","29:29.6","29:29.6","496","0","POINT (-86.92103621 36.2114944)","24664","0.5312124","1520000000","8","17","218","3","Wed","2020.218.3","1524468438","25:00.0","8/5/2020 12:25","48.6","51.0","52.0","48.94","30.0","100.0","0.065384615","0.047058824","2020","1524468438","ASHLAND CITY HWY","1743566","2020.218.3","0.0","28.983333333333324","16.0","3.3499999999999988"
"ObjectId(5f2b8b3895fad002d645b9e7)","36.2114944","-86.92103621","29B5U","29:29.6","29:29.6","496","0","POINT (-86.92103621 36.2114944)","24664","0.5312124","1520000000","8","17","218","3","Wed","2020.218.3","1524468438","20:00.0","8/5/2020 12:20","53.4","51.0","52.0","44.54","30.0","100.0","0.0","0.0","2020","1524468438","ASHLAND CITY HWY","1743566","2020.218.3","0.0","28.983333333333324","16.0","3.3499999999999988"
"ObjectId(5f2b8b3895fad002d645b9e7)","36.2114944","-86.92103621","29B5U","29:29.6","29:29.6","496","0","POINT (-86.92103621 36.2114944)","24664","0.5312124","1520000000","8","17","218","3","Wed","2020.218.3","1524468438","15:00.0","8/5/2020 12:15","53.8","51.0","52.0","44.2","30.0","100.0","0.0","0.0","2020","1524468438","ASHLAND CITY HWY","1743566","2020.218.3","0.0","28.983333333333324","16.0","3.3499999999999988"
"ObjectId(5f2b8b3895fad002d645b9e7)","36.2114944","-86.92103621","29B5U","29:29.6","29:29.6","496","0","POINT (-86.92103621 36.2114944)","24664","0.5312124","1520000000","8","17","218","3","Wed","2020.218.3","1524468438","10:00.0","8/5/2020 12:10","53.34","51.0","52.0","44.58","30.0","100.0","0.0","0.0","2020","1524468438","ASHLAND CITY HWY","1743566","2020.218.3","0.0","28.983333333333324","16.0","3.3499999999999988"
"ObjectId(5f2b8b3895fad002d645b9e7)","36.2114944","-86.92103621","29B5U","29:29.6","29:29.6","496","0","POINT (-86.92103621 36.2114944)","24664","0.5312124","1520000000","8","17","218","3","Wed","2020.218.3","1524468438","05:00.0","8/5/2020 12:05","54.8","51.0","52.0","43.4","30.0","100.0","0.0","0.0","2020","1524468438","ASHLAND CITY HWY","1743566","2020.218.3","0.0","28.983333333333324","16.0","3.3499999999999988"
"ObjectId(5f2b8b3895fad002d645b9e7)","36.2114944","-86.92103621","29B5U","29:29.6","29:29.6","496","0","POINT (-86.92103621 36.2114944)","24664","0.5312124","1520000000","8","17","218","3","Wed","2020.218.3","1524468438","00:00.0","8/5/2020 12:00","55.18","51.0","52.0","43.09","30.0","100.0","0.0","0.0","2020","1524468438","ASHLAND CITY HWY","1743566","2020.218.3","0.0","28.983333333333324","16.0","3.3499999999999988"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","55:00.0","9/12/2019 11:55","65.6","59.0","59.0","21.32","30.0","91.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","50:00.0","9/12/2019 11:50","66.16","59.0","59.0","21.14","30.0","90.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","45:00.0","9/12/2019 11:45","64.2","59.0","59.0","21.79","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","40:00.0","9/12/2019 11:40","62.97","59.0","59.0","22.21","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","35:00.0","9/12/2019 11:35","61.79","59.0","59.0","22.64","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","30:00.0","9/12/2019 11:30","63.38","59.0","59.0","22.07","30.0","98.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","25:00.0","9/12/2019 11:25","60.8","59.0","59.0","23.0","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","20:00.0","9/12/2019 11:20","61.0","59.0","59.0","22.93","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","15:00.0","9/12/2019 11:15","63.11","59.0","59.0","22.16","30.0","98.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
