"num_incidents","avg_response","avg_speed","hour_of_day"
"21","416.3809523809524","49.13633597883599","0"
"12","362.1666666666667","52.27140046296295","1"
"10","426.6","53.97466666666669","2"
"8","400.25","47.54588541666667","3"
"5","461.4","56.162222222222226","4"
"15","350.26666666666665","52.82468518518518","5"
"22","375.33976833976834","48.569543114543116","6"
"32","451.875","56.67130208333335","7"
"30","423.96666666666664","52.0538287037037","8"
"27","452.77777777777777","55.12432098765433","9"
"24","348.375","46.080121527777784","10"
"22","439.72727272727275","52.904469696969684","11"
"21","429.0952380952381","56.279728835978844","12"
"32","460.21875","53.445078124999995","13"
"30","318.3","52.3400601851852","14"
"40","388.525","50.28933680555556","15"
"30","382.06666666666666","47.082671296296304","16"
"43","384.06976744186045","48.55726098191215","17"
"34","419.2352941176471","51.57201797385622","18"
"30","365.4","47.16160648148148","19"
"24","421.92869565217393","45.70093333333335","20"
"18","345.6666666666667","45.141095679012345","21"
"24","394.0","46.84598958333335","22"
"20","451.7","43.810222222222215","23"
