"num_incident","temp_range","month","avg_response","avg_speed","avg_congestion"
"133","-1","1","359.77443609022555","37.83625104427736","0.10146869731526732"
"54","-1","2","453.0925925925926","34.33651748971193","0.1294727953130144"
"34","-1","3","325.0","34.745204248366015","0.1373238131470588"
"60","-1","11","360.23333333333335","39.36801851851851","0.09882015704583333"
"105","-1","12","474.247619047619","40.194697494870965","0.11651845676638055"
"841","0","1","385.85850178359095","37.207639807250786","0.10861782759219513"
"511","0","2","379.44422700587086","37.34459393346379","0.11925491673956296"
"291","0","3","398.7560137457045","37.03597670866743","0.10878266654348034"
"94","0","4","397.3404255319149","37.4918838010073","0.08879676875425917"
"15","0","5","448.8","41.79441666666667","0.08288220894722223"
"1","0","9","526.0","40.274305555555564","0.00946637425"
"148","0","10","375.8445945945946","38.5683830297689","0.11019542652841835"
"570","0","11","377.94912280701755","35.69961245917825","0.12659450885944948"
"743","0","12","370.84656796769855","36.866160316591646","0.11689350346982372"
"346","1","1","365.61560693641616","36.281420443540384","0.13527508555274362"
"366","1","2","385.5601092896175","35.45532217668488","0.12141895416598363"
"504","1","3","383.5952380952381","34.577053516313924","0.14109482062752424"
"503","1","4","367.26640159045724","38.032820366533194","0.10372667770787249"
"498","1","5","345.59638554216866","38.93679523650155","0.09660881337653392"
"87","1","6","362.42528735632186","37.07192889666278","0.08019042617552335"
"5","1","7","182.0","38.503138888888884","0.02855630751111111"
"23","1","8","396.39130434782606","34.943858695652175","0.1283302166708937"
"145","1","9","366.5448275862069","35.85015842911878","0.07401744174128351"
"805","1","10","385.3664596273292","36.49181652593715","0.11941560451114329"
"635","1","11","381.5574803149606","35.906061422610634","0.1412011096220213"
"466","1","12","361.0922746781116","36.357173470604266","0.12060588800356292"
"10","2","1","380.7","35.61713888888889","0.11670667108055552"
"31","2","2","373.61290322580646","29.535291218637987","0.22757279569802868"
"81","2","3","421.08641975308643","37.38899862825789","0.12249932982304527"
"258","2","4","377.59302325581393","33.94206492248062","0.1326084349037037"
"711","2","5","353.44444444444446","36.2706323878215","0.10996913210700647"
"937","2","6","372.7940234791889","38.66597957875729","0.1069887131968236"
"814","2","7","346.7997542997543","38.41092730519869","0.10966338336711594"
"1043","2","8","366.16874400767017","37.64403033900857","0.1173346961229644"
"807","2","9","350.02354399008675","37.14826735007224","0.10140136963621932"
"500","2","10","358.79","35.92100359156077","0.14120635599092676"
"97","2","11","393.37113402061857","33.68431768411833","0.13017965910115556"
"5","2","12","460.8","23.889277777777785","0.1407573385638889"
"68","3","5","373.2352941176471","29.690800653594778","0.1729707728962418"
"204","3","6","390.8480392156863","32.42522994475568","0.15633683022546493"
"400","3","7","357.435","35.447729011194035","0.1673581504166936"
"337","3","8","362.12462908011867","33.10045944609297","0.16981730126219916"
"248","3","9","368.52016129032256","33.49288082437276","0.16804559221712592"
"42","3","10","385.6190476190476","36.05824404761905","0.17507888350396822"
